Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
LOG_OFF,counter01,102,4002345A,294138555920,Test3,11:22:57,2021-03-13
LOG_ON,counter01,102,4002345A,294138555920,Test3,11:23:08,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:41:01,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:42:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:43:35,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:43:42,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:43:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:43:56,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:44:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:44:08,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:45:11,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:45:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:45:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:45:26,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:21,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:26,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:31,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:35,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:39,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:43,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:46:54,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:00,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:04,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:07,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:38,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:43,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:47:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:48:03,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:48:07,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,06:48:11,2021-03-13
